farm_id,farmer_id,state,district,village,area_in_acres,calculated_area_in_acres,lon,lat
7428,6095,HARYANA,KURUKSHETRA,bhagwanpur,16.0,15.06,76.95430349860577,30.05495444841293
7383,6095,HARYANA,KURUKSHETRA,bhagwanpur,22.0,22.48,76.94832576151275,30.063085101356688
11650,8568,HARYANA,AMBALA,Jaferpur,4.0,3.71,77.1562240216607,30.320812598133184
24221,5427,HARYANA,KURUKSHETRA,bhuhavi,10.0,10.05,76.9903703185949,30.162026653348637
6738,5427,HARYANA,KURUKSHETRA,bhuhavi,4.0,3.81,76.98872060236877,30.15778371879706
13556,9818,HARYANA,YAMUNANAGAR,Ismailpur,5.0,5.06,77.17486021368384,30.12533598776198
13551,9818,HARYANA,YAMUNANAGAR,Ismailpur,4.0,3.88,77.17542790466504,30.127118999328527
6806,5475,PUNJAB,MUKTSAR,channu,3.0,2.92,74.59061037531764,30.08739348317023
7086,5701,PUNJAB,MUKTSAR,Buttar sarien,10.555,10.72,74.69861073493702,30.35717872813645
8388,6503,HARYANA,KURUKSHETRA,Kharak Singh farm sandholi,65.0,60.58,76.626320661583,29.97008592080746
8457,6555,PUNJAB,MANSA,Reond khurd,11.059,10.95,75.57226743332157,29.74936333136542
9171,7028,HARYANA,KARNAL,Bhoji,5.0,5.34,77.1218224898062,29.925178250074246
26039,22638,PUNJAB,BATHINDA,Chak Bakhtu,9.0,8.96,75.1428349996959,30.195047450590835
8696,6717,HARYANA,FATEHABAD,Ratakhera,2.0,2.39,75.50495813905157,29.654753737138073
9975,7564,HARYANA,KARNAL,Budhanpur,20.0,18.4,76.82513186899797,29.70183933068493
12034,8827,PUNJAB,FEROZEPUR,Kmale wala,12.0,14.2,74.62639230977683,31.005978693749057
12033,8827,PUNJAB,FEROZEPUR,Kmale wala,8.0,6.11,74.61743913184489,31.00961984675855
8942,4703,PUNJAB,MUKTSAR,Bhalaiana,15.0,15.34,74.69592402152271,30.33027161914565
9157,7017,HARYANA,KURUKSHETRA,Bichgaw,50.0,57.23,76.7852108508716,30.0165663075286
21888,16355,HARYANA,KURUKSHETRA,Allipura,11.0,10.64,77.11071424446665,30.01549415208524
21887,16355,HARYANA,KURUKSHETRA,Allipura,20.0,20.73,77.11040706934058,30.01432287503584
12537,9178,PUNJAB,FEROZEPUR,Nihala kilcha,2.0,2.34,74.50081358731154,30.942899624384612
