farm_id,control_plot_id,soil_class,equlidian_distance,similarity_weight,centroid
8228,8228_2,4,0.476036858,0.197248654,"29.97947597692079,76.74253573316025"
8228,8228_39,4,0.481850582,0.194868768,"29.9890947569512,76.73302543686435"
8228,8228_6,4,0.488401563,0.192254973,"29.98669612659856,76.74417480204372"
24129,24129_43,7,0.640901647,0.219514055,"30.19399366676853,77.242717683358"
24129,24129_12,7,0.69592818,0.202157238,"30.18752579672288,77.22690733435749"
24129,24129_48,7,0.711676653,0.197683763,"30.18599957879042,77.2380426415742"
24129,24129_36,7,0.732946123,0.191947149,"30.187099786059445,77.24074707959936"
24129,24129_21,7,0.745567373,0.188697795,"30.188188967039085,77.23809457542862"
25223,25223_20,4,0.311717622,0.287521575,"30.59931352296326,75.47267724752889"
25223,25223_15,4,0.474827897,0.18875374,"30.6093746541454,75.46549072525595"
25223,25223_17,4,0.492167203,0.182103848,"30.602547457986088,75.46980263861971"
25223,25223_45,4,0.510994965,0.175394177,"30.604523751611154,75.46495173608547"
25223,25223_9,4,0.539176702,0.166226659,"30.596798240167722,75.46656870359689"
15725,15725_38,4,0.506720359,0.207446135,"30.348630681295756,74.62871041340146"
15725,15725_9,4,0.511210904,0.205623901,"30.35100437873239,74.62455277718225"
15725,15725_8,4,0.523991749,0.200608465,"30.349941200091678,74.62862020657019"
15725,15725_11,4,0.535545777,0.196280476,"30.349222547864386,74.62143368429723"
15725,15725_10,4,0.553128893,0.190041022,"30.352524157212983,74.62780936372569"
1965,1965_5,4,0.361461789,0.229855419,"29.934907706855224,76.31276519220161"
1965,1965_14,4,0.372044834,0.22331704,"29.93635684328305,76.31385967957841"
1965,1965_49,4,0.422344086,0.196721,"29.9270143643282,76.31278170123747"
1965,1965_0,4,0.461495707,0.180031904,"29.93704343772926,76.31415498300767"
1965,1965_36,4,0.488514645,0.170074637,"29.927797856526425,76.30776264858241"
7327,7327_0,7,0.468022865,0.227275183,"30.142610032516895,76.98544018598618"
7327,7327_9,7,0.50248016,0.211689915,"30.14512531531243,76.97430107646308"
7327,7327_29,7,0.537465169,0.197910467,"30.14045407583501,76.97645703314495"
7327,7327_42,7,0.577943806,0.184049005,"30.135345275815883,76.97895108525607"
7327,7327_48,7,0.593995401,0.179075431,"30.142969358630545,76.98508085987251"
14176,14176_14,7,0.451073979,0.213284559,"30.16790338469418,74.90749839339246"
14176,14176_45,7,0.474285985,0.20284621,"30.16632555601765,74.90458266185172"
14176,14176_9,7,0.490290646,0.196224659,"30.16848151269954,74.89416220455593"
14176,14176_37,7,0.494808798,0.194432911,"30.155186446494564,74.90206737905616"
14176,14176_31,7,0.497936378,0.193211661,"30.168122186585894,74.8977554656924"
1555,1555_21,7,0.339247924,0.2511584,"29.679438672024872,75.46477207302864"
1555,1555_3,7,0.444367747,0.191744262,"29.690102503906445,75.47025783908592"
1555,1555_41,7,0.44699934,0.190615417,"29.67943867202487,75.46333476857404"
1555,1555_49,7,0.461599675,0.184586277,"29.684664753121375,75.46559641219187"
1555,1555_7,7,0.468427742,0.181895644,"29.68715889734615,75.46489890445312"
